S/N,DATE,NAME_OF_ENTITY,NATURE_OF_BUSINESS,BUSINESS_PROJECT,CONTACT_NAME_PHONE_EMAIL_OF_PROMOTER,PROPOSED_FACILITY_AMOUNT,PURPOSE_OF_FACILITY,VALUE_CHAIN_CATEGORY,NAME_OF_BANK,BORROWING_RELATIONSHIP,FRESH_LOAN_REQUEST,REQUEST_SUBMITTED_TO_BANK,SECURITY_PROPOSED,FEASIBILITY_STUDY_AVAILABLE,HIGHLIGHTS_OF_DISCUSSION,RM_BM_NAME_PHONE_NUMBER,RM_BM_EMAIL,STATUS_UPDATE,CHALLENGES,PROPOSED_NEXT_STEPS,STATE,TARGET
12,31/1/23,COM10012,Rice Mill,EXISTING,OB10012,200000000,Working capital for purchase of paddy ,MIDSTREAM,Sterling Bank,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,The Bank to give feedback to the Client and NIL on whether the client has qualified for the facility or not as they have gotten all required documents from the client,The Sterling Bank Desk Officer at Borno State later advised his transaction to be dropped as they are not comfortable doing business with client.,We are to take the Obligor to another bank.,BORNO,0
13,31/1/23,COM10013,PRODUCE AGGREGATION (RICE PADDY),EXISTING,OB10013,30000000,FINANCE THE PURCHASE OF RICE PADDY FOR AGGREGATION,MIDSTREAM,TAJ BANK,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Awaiting response from Bank Head Office after loan request was forwarded by the Bank Branch Office to the Bank Head Office,,Awaiting response from Bank Head Office,GOMBE,0
14,31/1/23,COM10014,RICE PROCESSING,EXISTING,OB10014,2000000000,FINANCE PURCHASE OF RICE PADDY FOR PROCESSING,MIDSTREAM,TAJ BANK,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Obligor preparation of requested documents by the Bank for submission,,Awaiting submission of loan request and other required documents by the Obligor.,GOMBE,0
15,31/1/23,COM10015,"PROCESSING OF OIL (CASHEW, GROUNDNUT AND PALM)",EXISTING,OB10015,50000000,FINANCE RUNNING COST OF OIL PRODUCTION,MIDSTREAM,TAJ BANK,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Awaiting response from Bank Head Office after loan request was forwarded by the Bank Branch Office to the Bank Head Office,,Awaiting response from Bank Head Office,GOMBE,0
16,31/01/2023,COM10016,RICE PROCESSING ,EXISTING,OB10016,100000000,FINAANCE PURCHASE OF ADDITIONAL EQUIPMENT FOR RICE PROCESSING,MIDSTREAM,TAJ BANK,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,"Meeting between the Bank, Client and NIL and the Client was asked to submit a loan request letter and also run the account for at least a month",,Submission of account opening form to Bank,GOMBE,0
17,31/01/2023,COM10017,BULL FATTENING,NEW  ,OB10017,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, WAITING FOR THE CLIENT TO PAY HIS INSURANCE AND EQUITY CONTRIBUTION ,CLIENT COULD NOT PAY HIS EQUITY AND ENSURANCE TO ACCESS THE FACILITY,FOLLOW UP WITH THE OBLIGOR TO PAY ENSURANCE AND EQUITY CONTRIBUTION ,TARABA,0
18,31/01/2023,COM10018,BULL FATTENING,NEW  ,OB10018,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,0
19,31/01/2023,COM10019,BULL FATTENING,NEW  ,OB10019,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,NO,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,0
20,31/01/2023,COM10020,BULL FATTENING,EXISTING,OB10020,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,1
21,31/01/2023,COM10021,BULL FATTENING,NEW  ,OB10021,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,0
22,31/01/2023,COM10022,BULL FATTENING,NEW  ,OB10022,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR THE CLIENT TO COMPLETE HIS EQUITY CONTRIBUTIN, THE CLIENT IS YET TO PAY THE BALANCE OF HIS EQUITY CONTRIBUTION,FOLLOW UP WITH THE OBLIGOR TO PAY THE REMAINING  EQUITY CONTRIBUTION,TARABA,0
23,31/01/2023,COM10023,LIVESTOCK(INTERGRATED FARM),EXISTING,OB10023,250000000,BULL FATTENING,UPSTREAM,UNION BANK,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, WAITING FOR BANK APPROVAL, DELAY FROM THE BANK TO APPROVE THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,1
24,31/01/2023,COM10024,RICE MILL,NEW  ,OB10024,250000000,RICE MILL,UPSTREAM,POLARIS BANK/BOI,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL," WAITING FOR THE CLIENT TO PAY HIS CRG,PMRO,INSURANCE AND EQUITY CONTRIBUTION"," DELAY FROM THE CLIENT IN PAYING HIS EQUITY CONTRIBUTION,INSURANCE,PMRO AND CRG",FOLLOW UP WITH THE OBLIGOR TO ENSURE HE PAID HIS CRG FEE AND EQUITY CONTRIBUTION,TARABA,0
25,31/1/2023,COM10025,FERTILIZER FINANCING,NEW  ,OB10025,100000000,FERTILIZER FINANCING,UPSTREAM,UBA BANK,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, WAITING FOR ACCOUNT NUMBER, WAITING FOR HIS ACCOUNT NUMBER FROM THE BANK,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,TARABA,0
26,31/1/2023,COM10026,Paddy Aggregation/Processing ,EXISTING,OB10026,3000000000,Paddy Aggregation ,MIDSTREAM,Jaiz bank,YES,NO,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,We reported the transaction to Hq for follow up with the Jaiz bank Hq,Delay in gotten the approval and the offer letter to enable request letter to NIL ,Awaiting the bank's  offer letter,TARABA,0
27,31/1/2023,COM10027,Poultry Farming ,EXISTING,OB10027,25290767.25,Poultry Farming ,UPSTREAM,Jaiz Bank,NO,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,The transaction has been reported to Hq as the branch said the transaction is with their Hq,Taking linger time than necessary in processing the application within branch before forwarding it to appropriate units,Awaiting response  from the Bank Hq,TARABA,1
28,44959,COM10028,Poultry Farming,EXISTING,OB10028,9041450,Poultry Farming,UPSTREAM,Jaiz Bank,NO,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,The transaction has been reported to Hq as the branch said the transaction is with their Hq,Taking linger time than necessary in processing the application within branch before forwarding it to appropriate units,Awaiting response  from the Bank Hq,TARABA,1
29,31/1/2023,COM10029,Fertilizer Sales,EXISTING,OB10029,0,Purchase of fertilizer ,PRE-UPSTREAM,Sterling ,YES,YES,NO,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, N/A,N/A,Obligor to submit request after election ,TARABA,0
30,31/1/2023,COM10030,Processing,EXISTING,OB10030,2000000000,To finance the execution of contracts from United Nations (World Food Programme),MIDSTREAM,EcoBank,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,"Preguarantee visit has been carried out, awaiting Head Office instruction for the bank to make disbursement",Preguarantee visit was carried out since last year but the project has not commenced,Awaiting update from the Head Office for the next line of action.,TARABA,1
31,31/1/2023,COM10031,Processing,EXISTING,OB10031,200000000,Working capital and expansion of operations.,MIDSTREAM,Jaiz Bank,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,"Loan processing is still at the branch level, the client is yet to submit all the required documents.",The client do not have the bank requirements.,To continue to follow-up with the bank for the consummation of the deal.,TARABA,1
32,31/01/2023,COM10032,Processing,EXISTING,OB10032,30000000,Purchase and processing of rice paddy.,MIDSTREAM,Sterling bank Plc,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,The loan processing is still at the branch level with documentation on-going.,Competition from other credit guarantee companies who marketted their guarantee to the bank.,To continue to follow-up with the bank for the consummation of the deal.,TARABA,1
33,29/01/2023,COM10033,FERTILIZER SUPPLY,EXISTING,OB10033,50000000,TO PURCHASE FERTILIZER FROM GOLDEN FERTILIZER ,PRE-UPSTREAM,ZENITH BANK,YES,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,THE OBLIGOR WILL SUBMIT SOME DOCUMENTS REQUESTED BY BANK WITHIN THIS WEEK,THE BANK OFFICIALS ARE VERY BUSY THIS DAYS BECAUSE OF THE CURRENCY CHANGE ISSUE,WE ARE TO MEET THE ACCOUNT OFFICER THIS WEEK,TARABA,0
34,29/01/2023,COM10034,PRODUCE AGGREGATION (RICE PADDY),EXISTING,OB10034,30000000,FINANCE THE PURCHASE OF RICE PADDY FOR AGGREGATION,MIDSTREAM,TAJ BANK,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Awaiting response from Bank Head Office after loan request was forwarded by the Bank Branch Office to the Bank Head Office,,Awaiting response from Bank Head Office,TARABA,0
35,29/01/2023,COM10035,RICE PROCESSING,EXISTING,OB10035,2000000000,FINANCE PURCHASE OF RICE PADDY FOR PROCESSING,MIDSTREAM,TAJ BANK,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Obligor preparation of requested documents by the Bank for submission,,Awaiting submission of loan request and other required documents by the Obligor.,TARABA,0
36,29/01/2023,COM10036,"PROCESSING OF OIL (CASHEW, GROUNDNUT AND PALM)",EXISTING,OB10036,50000000,FINANCE RUNNING COST OF OIL PRODUCTION,MIDSTREAM,TAJ BANK,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Awaiting response from Bank Head Office after loan request was forwarded by the Bank Branch Office to the Bank Head Office,,Awaiting response from Bank Head Office,TARABA,0
37,3/2/2023,COM10037,RICE PROCESSING ,EXISTING,OB10037,100000000,FINAANCE PURCHASE OF ADDITIONAL EQUIPMENT FOR RICE PROCESSING,MIDSTREAM,TAJ BANK,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,"Meeting between the Bank, Client and NIL and the Client was asked to submit a loan request letter and also run the account for at least a month",,Submission of account opening form to Bank,TARABA,0
38,3/2/2023,COM10038,BULL FATTENING,EXISTING,OB10038,50000000,BULL FATTENING,PRE-UPSTREAM,FCMB,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,THE DEAL IS UNDER PROCESSING,CURRENCY REDISIGN IS AFFECTING THE PROCESSING,APPROVAL,YOBE,0
39,3/2/2023,COM10039,RICE MILL,NEW  ,OB10039,1500000000,MACHINERY AND WORKING CAPITAL,MIDSTREAM,STANBIC IBTC,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,THE OBLIGOR IS YET TO SUBMIT HIS FACILTY  REQUEST,THE OBLIGOR IS NEW IN RICE MILLING BUSINESS HENCE THE DELAY IN PUTTING HIS REQUEST TO THE BANK BUT HE SAID HE WILL SOON,SUBMISSION OF FACILITY REQUEST LETTER TO THE BANK,YOBE,0
40,3/2/2023,COM10040,FERTILIZER BLENDING,EXISTING,OB10040,1000000000,FERTILIZER FINANCING,PRE-UPSTREAM,STERLING BANK,NO,YES,NO,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,THIS DEAL IS NEW,THE OBLIGOR IS NOT RESIDING IN YOBE HE STAYS IN KANO HE DO COMES TO DAMATURU FOR OUR MEETING,SUBMISSION OF FACILITY REQUEST LETTER TO THE BANK,YOBE,0
41,3/2/2023,COM10041,LIVESTOCK AND AQUACULTURE,EXISTING,OB10041,200000000,"POULTRY, BULL FATTENING AND AQUACULTURE",UPSTREAM,FCMB,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,THIS DEAL IS NEW,THE FEDERAL POLYTECHIC GOT NEW REGISTRAR AND HE ASKED US TO GIVE HIM LITTLE TIME TO STUDY THE BUSINESS PLAN AND REQUEST SUBMITTED TO THE BANK BY THE FORMER REGISTRAR,BANK TO GO AHEAD AND PROCESS THE REQUEST,YOBE,0
42,3/2/2023,COM10042,BULL FATTENING,NEW  ,OB10042,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, WAITING FOR THE CLIENT TO PAY HIS INSURANCE AND EQUITY CONTRIBUTION ,CLIENT COULD NOT PAY HIS EQUITY AND ENSURANCE TO ACCESS THE FACILITY,FOLLOW UP WITH THE OBLIGOR TO PAY ENSURANCE AND EQUITY CONTRIBUTION ,YOBE,0
43,3/2/2023,COM10043,BULL FATTENING,NEW  ,OB10043,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
44,3/2/2023,COM10044,BULL FATTENING,NEW  ,OB10044,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
45,3/2/2023,COM10045,BULL FATTENING,EXISTING,OB10045,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
46,3/2/2023,COM10046,BULL FATTENING,NEW  ,OB10046,100000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR BANK APPROVAL,DELAY FROM THE BANK IN APPROVING THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
47,3/31/2023,COM10047,BULL FATTENING,NEW  ,OB10047,50000000,BULL FATTENING,UPSTREAM,STANBIC IBTC,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL,WAITING FOR THE CLIENT TO COMPLETE HIS EQUITY CONTRIBUTIN, THE CLIENT IS YET TO PAY THE BALANCE OF HIS EQUITY CONTRIBUTION,FOLLOW UP WITH THE OBLIGOR TO PAY THE REMAINING  EQUITY CONTRIBUTION,YOBE,0
48,3/31/2023,COM10048,LIVESTOCK(INTERGRATED FARM),EXISTING,OB10048,250000000,BULL FATTENING,UPSTREAM,UNION BANK,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL, WAITING FOR BANK APPROVAL, DELAY FROM THE BANK TO APPROVE THE LOAN,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
49,3/31/2023,COM10049,RICE MILL,NEW  ,OB10049,250000000,RICE MILL,UPSTREAM,POLARIS BANK/BOI,YES,YES,YES,Equity Contribution/CRG Fee,YES,NIL,NIL,NIL," WAITING FOR THE CLIENT TO PAY HIS CRG,PMRO,INSURANCE AND EQUITY CONTRIBUTION"," DELAY FROM THE CLIENT IN PAYING HIS EQUITY CONTRIBUTION,INSURANCE,PMRO AND CRG",FOLLOW UP WITH THE OBLIGOR TO ENSURE HE PAID HIS CRG FEE AND EQUITY CONTRIBUTION,YOBE,0
50,3/31/2023,COM10050,FERTILIZER FINANCING,NEW  ,OB10050,100000000,FERTILIZER FINANCING,UPSTREAM,UBA BANK,YES,YES,YES, ,YES,NIL,NIL,NIL, WAITING FOR ACCOUNT NUMBER, WAITING FOR HIS ACCOUNT NUMBER FROM THE BANK,FOLLOW UP WITH THE BANK TO ENSURE THE LOAN IS APPROVE,YOBE,0
51,3/31/2023,COM10051,Paddy Aggregation/Processing ,EXISTING,OB10051,3000000000,Paddy Aggregation ,MIDSTREAM,Jaiz bank,YES,NO,YES,Factory/Machines,YES,NIL,NIL,NIL,We reported the transaction to Hq for follow up with the Jaiz bank Hq,Delay in gotten the approval and the offer letter to enable request letter to NIL ,Awaiting the bank's  offer letter,JIGAWA,0
52,3/31/2023,COM10052,Poultry Farming ,EXISTING,OB10052,25290767.25,Poultry Farming ,UPSTREAM,Jaiz Bank,NO,YES,YES,Equity Contribution 25%,YES,NIL,NIL,NIL,The transaction has been reported to Hq as the branch said the transaction is with their Hq,Taking linger time than necessary in processing the application within branch before forwarding it to appropriate units,Awaiting response  from the Bank Hq,JIGAWA,0
53,3/31/2023,COM10053,Poultry Farming,EXISTING,OB10053,9041450,Poultry Farming,UPSTREAM,Jaiz Bank,NO,YES,YES,Equity Contribution 25%,YES,NIL,NIL,NIL,The transaction has been reported to Hq as the branch said the transaction is with their Hq,Taking linger time than necessary in processing the application within branch before forwarding it to appropriate units,Awaiting response  from the Bank Hq,JIGAWA,0
54,3/31/2023,COM10054,Fertilizer Sales,EXISTING,OB10054,0,Purchase of fertilizer ,PRE-UPSTREAM,Sterling ,YES,YES,NO,Company Asset,YES,NIL,NIL,NIL, N/A,N/A,Obligor to submit request after election ,KADUNA,0
55,3/31/2023,COM10055,POULTRY  FARM,NEW  ,OB10055,15000000,POULTRY BUSINESS,UPSTREAM,UNION  BANK PLC,NO,YES,YES,LANDED PROP,YES,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
56,3/31/2023,COM10056,RICE FARMING,NEW  ,OB10056,30000000,POULTRY ,UPSTREAM,UNION  BANK PLC,NO,YES,YES,NO,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
57,5/8/2023,COM10057,RICE FARMING,NEW  ,OB10057,30000000,RICE  FARMING,UPSTREAM,UNION  BANK PLC,NO,YES,YES,YET  TO  PROVIDE,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
58,5/8/2023,COM10058,RICE  MILLING ,EXISTING,OB10058,10000000,RICE MILLING,MIDSTREAM,FCMB  BANK PLC,NO,YES,YES,YET,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
59,5/15/2023,COM10059,POULTRY  FARM,EXISTING,OB10059,5000000,POULTRY FARM,UPSTREAM,FCMB  BANK PLC,NO,YES,YES,YET  TO  PROVIDE,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
60,5/18/2023,COM10060,FISH FARMING,EXISTING,OB10060,5000000,FISH FARMING,UPSTREAM,FCMB  BANK PLC,NO,YES,YES,YET  TO  PROVIDE,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
61,5/8/2023,COM10061,POULTRY  FARMS,EXISTING,OB10061,500000000,POULTRY FARMS ,UPSTREAM,ACCESS BANK PLC ,NO,YES,YES,YET TO PROVIDE ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
62,6/26/2023,COM10062,FISH FARMING ,EXISTING,OB10062,50000000,FISH FARMING ,UPSTREAM,UBA 1 PLC,NO,YES,YES,YET TO PROVIDE ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
63,6/26/2023,COM10063,  AGRO-DEALER,EXISTING,OB10063,100000000,AGRO-DEALER ,UPSTREAM,UBA  1 PLC,YES,YES,YES,YET TO PROVIDE ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
64,6/26/2023,COM10064,AGRO DEALER ,EXISTING,OB10064,100000000,AGRO-DEALER ,UPSTREAM,UBA 2 PLC,YES,YES,YES,YET TO PROVIDE ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
65,7/28/2023,COM10065,POULTRY FARMS ,EXISTING,OB10065,10000000,POULTRY FARMS ,UPSTREAM,UBN PLC,NO,YES,YES,NOT YET PROVIDED ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
66,7/28/2023,COM10066,FRUITS & VEGETABLES ,EXISTING,OB10066,16000000,VEGETABLE  FARMS ,UPSTREAM,UBN PLC,NO,YES,YES,NOT YET PROVIDED ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
67,7/28/2023,COM10067,POULTRY FARM,EXISTING,OB10067,30000000,POULTRY FARMING ,UPSTREAM,FBN PLC,NO,YES,YES,NOT YET PROVIDED ,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE ,NIGER,0
68,7/28/2023,COM10068,RICE MILLS ,EXISTING,OB10068,100000000,RICE MILLS,UPSTREAM,BOI,NO,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE,NIGER,0
